,present_products,all_products,all_variants
0,Điện thoại iPhone 16e 128GB,"['Điện thoại iPhone 16e 128GB', 'Điện thoại iPhone 16e 256GB', 'Điện thoại iPhone 16e 512GB']","['128GB', '256GB', '512GB']"
1,Điện thoại iPhone 16 Pro Max 256GB,"['Điện thoại iPhone 16 Pro Max 256GB', 'Điện thoại iPhone 16 Pro Max 512GB', 'Điện thoại iPhone 16 Pro Max 1TB']","['256GB', '512GB', '1TB']"
2,Điện thoại iPhone 16 Pro 128GB,"['Điện thoại iPhone 16 Pro 128GB', 'Điện thoại iPhone 16 Pro 256GB', 'Điện thoại iPhone 16 Pro 512GB', 'Điện thoại iPhone 16 Pro 1TB']","['128GB', '256GB', '512GB', '1TB']"
3,Điện thoại Samsung Galaxy S25 5G 12GB/256GB,"['Điện thoại Samsung Galaxy S25 5G 12GB/256GB', 'Điện thoại Samsung Galaxy S25 5G 12GB/512GB']","['256GB', '512GB']"
4,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB,"['Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/256GB', 'Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/512GB', 'Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/1TB']","['256GB', '512GB', '1TB']"
5,Điện thoại Xiaomi Redmi Note 14 6GB/128GB,"['Điện thoại Xiaomi Redmi Note 14 6GB/128GB', 'Điện thoại Xiaomi Redmi Note 14 8GB/128GB', 'Điện thoại Xiaomi Redmi Note 14 8GB/256GB']","['6GB - 128GB', '8GB - 128GB', '8GB - 256GB']"
6,Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB,['Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB'],[None]
7,Điện thoại OPPO Reno13 F 5G 8GB/256GB,"['Điện thoại OPPO Reno13 F 5G 8GB/256GB', 'Điện thoại OPPO Reno13 F 5G 12GB/512GB', 'Điện thoại OPPO Reno13 F 5G 12GB/256GB']","['8GB - 256GB', '12GB - 512GB', '12GB - 256GB']"
8,Điện thoại OPPO Reno13 5G 12GB/256GB,"['Điện thoại OPPO Reno13 5G 12GB/256GB', 'Điện thoại OPPO Reno13 5G 12GB/512GB']","['256GB', '512GB']"
9,Điện thoại realme C75 8GB/128GB,"['Điện thoại realme C75 8GB/128GB', 'Điện thoại realme C75 8GB/256GB', 'Điện thoại realme C75 8GB/512GB']","['128GB', '256GB', '512GB']"
10,Điện thoại vivo V40 Lite 8GB/256GB,['Điện thoại vivo V40 Lite 8GB/256GB'],[None]
11,Điện thoại HONOR X9c 5G 12GB/256GB,"['Điện thoại HONOR X9c 5G 12GB/256GB', 'Điện thoại HONOR X9c Smart 5G 12GB/256GB']","['X9c', 'X9c Smart']"
12,Điện thoại TCL 406s 4GB/64GB,['Điện thoại TCL 406s 4GB/64GB'],[None]
